generator,dataset,method,harmonic_purity_mean,harmonic_purity_std,coverage_mean,coverage_std,ari_mean,ari_std,nmi_mean,nmi_std,runs
GPT-4.1 mini,ag_news,bertopic,0.5691620830365695,0.060604331430531046,0.6888610763454318,0.10365190546588211,0.34425412664638533,0.09378447180593538,0.4709183819697441,0.04583941034983451,5
GPT-4.1 mini,ag_news,direct_hybrid,0.6886485544752741,0.06970403497321336,1.0,0.0,0.423866670897422,0.09066684560535046,0.45103468475171804,0.03678109967615897,5
GPT-4.1 mini,ag_news,direct_initial,0.6918128840934911,0.070812176631407,1.0,0.0,0.42648799140741167,0.09307189397987954,0.4558832316526454,0.038604168973871096,5
GPT-4.1 mini,ag_news,hybrid,0.7177335014812869,0.0453654274431039,1.0,0.0,0.4802857897303875,0.04380140528610087,0.48355634274893655,0.017809818500084718,5
GPT-4.1 mini,ag_news,initial,0.7230377851082699,0.0475253165331179,1.0,0.0,0.48913966070470566,0.04775975175267942,0.4944641699638425,0.02354240917967826,5
GPT-4.1 mini,ag_news,kmeans,0.6101831943822298,0.07586910896937715,1.0,0.0,0.3787308560748225,0.06307319977435853,0.5505356805801943,0.030541034658665134,5
GPT-4.1 mini,bills,bertopic,0.16027157223097782,0.03304149517140901,0.975,0.05590169943749474,0.017148183157923158,0.014673270899811849,0.1366264000618806,0.059970855538701094,5
GPT-4.1 mini,bills,direct_hybrid,0.3807897912962882,0.03041408759079366,1.0,0.0,0.18863030142747114,0.02951577168226989,0.4121580683710957,0.027271443126936402,5
GPT-4.1 mini,bills,direct_initial,0.37314218371204966,0.03454680280864545,1.0,0.0,0.18575241398004122,0.030507296198033818,0.3975511773767021,0.036939380519825114,5
GPT-4.1 mini,bills,hybrid,0.36469503435831674,0.030111740522031725,0.9388297872340423,0.0,0.171817236055927,0.028661950440109503,0.3938121764914119,0.025337045311895776,5
GPT-4.1 mini,bills,initial,0.35273924169830045,0.03312958484653166,0.9388297872340423,0.0,0.1617991850773696,0.028015265078767712,0.37224117169567084,0.03474018605371328,5
GPT-4.1 mini,bills,kmeans,0.40750104728994785,0.02885194770994648,1.0,0.0,0.20694317669091172,0.01794998105928747,0.4543797983841792,0.02025958272205648,5
GPT-4.1 mini,massive,bertopic,0.5866797321280932,0.031950461932791455,0.6922222222222223,0.029749468301089523,0.2662703494487217,0.022700568704235254,0.629688391330083,0.016948660542365726,5
GPT-4.1 mini,massive,direct_hybrid,0.4481369086164776,0.05169724425652633,1.0,0.0,0.19839527143505276,0.04500279416844426,0.5017101756802893,0.04019433992566925,5
GPT-4.1 mini,massive,direct_initial,0.43627738128054705,0.049196028743892735,1.0,0.0,0.1872845603471575,0.04780224071312648,0.49070314773918405,0.03902750409357357,5
